Date,User,Kind,Max Mode,Model,Tokens,Cost ($)
"2025-06-03T17:30:17.059Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:28:29.262Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:23:29.896Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:20:17.311Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:16:54.746Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:15:46.043Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:14:25.397Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:08:57.057Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:07:06.160Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:05:20.914Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:02:42.987Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:01:55.905Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T17:00:13.293Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T16:58:44.026Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T16:54:27.945Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T16:47:28.655Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:49:49.776Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:47:23.595Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:45:26.787Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:44:10.574Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:36:44.258Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T15:24:48.857Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T14:35:23.784Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T14:35:11.746Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T13:04:55.776Z","You","Errored, Not Charged","No","gpt-4.1","","Included"
"2025-06-03T13:03:38.504Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T12:10:39.036Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T12:09:06.955Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T12:04:51.359Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T12:02:14.897Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:59:58.228Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:57:45.822Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:57:05.284Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:52:27.353Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:46:08.823Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:43:30.667Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:38:23.904Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:37:23.500Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:35:02.745Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:29:47.669Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:27:40.648Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:17:29.053Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T11:01:04.974Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:52:15.165Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:49:27.552Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:47:59.497Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:46:37.755Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:43:07.047Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:40:32.255Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:38:18.487Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:35:20.802Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:32:13.223Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:30:24.837Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:27:23.491Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:24:33.188Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:19:48.439Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:17:12.570Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:16:06.857Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:14:47.463Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:14:38.019Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:13:22.126Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:11:52.203Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:09:18.766Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:07:54.558Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T10:05:32.909Z","You","Errored, Not Charged","No","gpt-4.1","","Included"
"2025-06-03T09:43:07.167Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:38:06.694Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:33:59.769Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:32:35.008Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:30:39.301Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:27:03.888Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:25:06.234Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:21:06.603Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:19:06.643Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:16:52.994Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:13:52.320Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:10:45.392Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:08:10.792Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:05:52.040Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:03:16.978Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T09:01:45.131Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:59:15.093Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:58:01.398Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:56:40.465Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:50:57.688Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:47:52.094Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:46:28.473Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:43:50.031Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:41:08.232Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:37:34.139Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:35:30.551Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:33:50.362Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:32:16.217Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:30:22.915Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:28:08.957Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:26:44.762Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:24:57.663Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:22:07.040Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:19:30.456Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:18:30.055Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:16:53.709Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:13:39.574Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:10:22.493Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:06:15.568Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:04:05.238Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T08:02:28.763Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:59:42.705Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:57:46.932Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:55:36.093Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:54:36.184Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:51:30.974Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:51:17.607Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:50:39.004Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:49:42.921Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:47:35.179Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:46:12.248Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:44:57.642Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:41:06.000Z","You","Errored, Not Charged","No","gpt-4.1","","Included"
"2025-06-03T07:39:36.097Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:38:40.835Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:38:31.990Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:38:20.063Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:36:21.890Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:32:58.140Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:29:43.604Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:27:44.063Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:26:10.392Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:23:56.670Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:22:05.447Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:19:13.657Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:16:18.685Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:13:01.991Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T07:10:01.123Z","You","Included in Pro","No","o4-mini","","Included"
"2025-06-03T07:07:22.906Z","You","Included in Pro","No","o4-mini","","Included"
"2025-06-03T07:04:33.864Z","You","Included in Pro","No","o4-mini","","Included"
"2025-06-03T06:17:31.044Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T06:14:11.445Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T06:07:24.991Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T06:04:38.147Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T06:03:31.403Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T06:01:48.997Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:58:51.399Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:57:03.099Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:55:35.117Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:53:42.439Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:51:58.157Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:48:41.913Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:47:45.587Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:32:44.849Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:27:06.232Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:19:39.943Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:13:43.688Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:09:44.185Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:09:34.450Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:06:55.881Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T05:03:57.006Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T04:06:36.631Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:44:34.338Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:37:03.926Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:34:07.889Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:31:32.078Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:29:53.760Z","You","Included in Pro","No","gpt-4.1","","Included"
"2025-06-03T03:29:46.063Z","You","Included in Pro","No","o4-mini","","Included"
"2025-06-03T03:26:05.018Z","You","Included in Pro","No","o4-mini","","Included"
