Date,User,Kind,Model,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output,Total Tokens,Cost ($)
"2025-07-03T17:16:27.546Z","You","Included in Pro","claude-4-sonnet",75929,230,1724240,32648,1833047,"Included"
"2025-07-03T16:55:41.030Z","You","Included in Pro","claude-4-sonnet",65111,3810,2528789,28067,2625777,"Included"
"2025-07-03T16:52:37.426Z","You","Included in Pro","claude-4-sonnet",951,1035,62833,994,65813,"Included"
"2025-07-03T16:34:14.570Z","You","Included in Pro","claude-4-sonnet",52942,164,1456324,31075,1540505,"Included"
"2025-07-03T16:28:26.457Z","You","Included in Pro","o3",0,34204,85274,2223,121701,"Included"
"2025-07-03T16:27:29.083Z","You","Errored, Not Charged","claude-4-sonnet",0,0,0,0,0,"Included"
"2025-07-03T15:32:44.065Z","You","Included in Pro","claude-4-sonnet",14456,203,478985,5863,499507,"Included"
"2025-07-03T15:21:23.144Z","You","Included in Pro","claude-4-sonnet",108925,332,468988,17145,595390,"Included"
"2025-07-03T15:13:19.638Z","You","Errored, Not Charged","claude-4-sonnet",59000,190,797485,24969,881644,"Included"
"2025-07-03T15:07:07.445Z","You","Included in Pro","claude-4-sonnet",27227,97,207396,19148,253868,"Included"
"2025-07-03T09:33:25.982Z","You","Included in Pro","claude-4-sonnet-thinking",42722,270,292882,43636,379510,"Included"
"2025-07-03T09:22:32.290Z","You","Errored, Not Charged","claude-4-sonnet",13793,97,148987,1809,164686,"Included"
"2025-07-03T09:21:39.171Z","You","Included in Pro","claude-4-sonnet",12895,77,19598,800,33370,"Included"
"2025-07-02T13:50:29.791Z","You","Included in Pro","o3",0,548,2682,4080,7310,"Included"
"2025-07-02T13:26:19.110Z","You","Errored, Not Charged","claude-4-sonnet",78964,163,555044,38944,673115,"Included"
"2025-07-02T13:22:24.414Z","You","Included in Pro","o3",0,22040,153522,6249,181811,"Included"
"2025-07-02T13:21:16.237Z","You","Included in Pro","o3",0,1243,18030,1995,21268,"Included"
"2025-07-02T13:01:36.450Z","You","Included in Pro","claude-4-sonnet",78681,277,1577926,57025,1713909,"Included"
"2025-07-02T12:57:09.729Z","You","Included in Pro","o3",0,22301,147908,4422,174631,"Included"
